ticker,name,market_cap,industry,sector,avg_volume,revenue_growth,gross_margins,ps_ratio,is_known_ticker,price,growth_category,market_cap_category
WDAY,"Workday, Inc.",66.404241408,Software - Application,Technology,3331508,16.7,75.773,8.445153,True,249.64,Low,$70B
WDAY,"Workday, Inc.",66.404241408,Software - Application,Technology,3331508,16.7,75.773,8.445153,True,249.64,Low,$70B
TEAM,Atlassian Corporation,65.722871808,Software - Application,Technology,2112503,21.5,81.545997,14.385752,True,252.36,Medium,$70B
TEAM,Atlassian Corporation,65.722871808,Software - Application,Technology,2112503,21.5,81.545997,14.385752,True,252.36,Medium,$70B
TTD,"The Trade Desk, Inc.",61.410480128,Software - Application,Technology,3665309,27.3,81.06,26.589043,True,124.42,Medium,$70B
SNOW,Snowflake Inc.,56.372826112,Software - Application,Technology,6564129,28.9,67.83500000000001,17.581324,True,170.79,Medium,$70B
SNOW,Snowflake Inc.,56.372826112,Software - Application,Technology,6564129,28.9,67.83500000000001,17.581324,True,170.79,Medium,$70B
NXPI,NXP Semiconductors N.V.,54.735036416,Semiconductors,Technology,2388531,-5.4,57.238,4.234819,True,215.36,Negative,$70B
DDOG,"Datadog, Inc.",47.017660416,Software - Application,Technology,4570700,26.0,81.242996,18.538647,True,138.4,Medium,$50B
DDOG,"Datadog, Inc.",47.017660416,Software - Application,Technology,4570700,26.0,81.242996,18.538647,True,138.4,Medium,$50B
HOOD,"Robinhood Markets, Inc.",42.563444736,Capital Markets,Financial Services,22880268,36.4,86.462,17.67585,True,48.15,Medium,$50B
KVUE,Kenvue Inc.,40.454189056,Household & Personal Products,Consumer Defensive,13318395,-0.4,57.902,2.6168697,True,21.1,Negative,$50B
NET,"Cloudflare, Inc.",40.20860928,Software - Infrastructure,Technology,2793263,28.199999999999996,77.52799999999999,25.575506,True,117.16,Medium,$50B
NET,"Cloudflare, Inc.",40.20860928,Software - Infrastructure,Technology,2793263,28.199999999999996,77.52799999999999,25.575506,True,117.16,Medium,$50B
MPWR,"Monolithic Power Systems, Inc.",30.527500288,Semiconductors,Technology,981747,30.599999999999998,55.289,14.968518,True,625.82,Medium,$50B
ZS,"Zscaler, Inc.",28.78209024,Software - Infrastructure,Technology,1754206,30.3,78.080004,13.277275,True,187.58,Medium,$50B
ZS,"Zscaler, Inc.",28.78209024,Software - Infrastructure,Technology,1754206,30.3,78.080004,13.277275,True,187.58,Medium,$50B
TER,"Teradyne, Inc.",22.53996032,Semiconductor Equipment & Materials,Technology,2472668,4.8,57.89,8.23349,True,138.4,Low,$50B
TOST,"Toast, Inc.",21.515841536,Software - Infrastructure,Technology,7194572,26.5,23.358,4.619116,True,37.88,Medium,$50B
MDB,"MongoDB, Inc.",20.282615808,Software - Infrastructure,Technology,1942522,12.8,74.02499999999999,11.146683,True,253.11,Low,$50B
DOCU,"DocuSign, Inc.",18.101260288,Software - Application,Technology,3150793,7.000000000000001,80.254996,6.332491,True,89.6,Low,$20B
SMCI,"Super Micro Computer, Inc.",18.047113216,Computer Hardware,Technology,76013254,143.0,14.132,1.2077421,True,30.82,High,$20B
AFRM,"Affirm Holdings, Inc.",18.00763392,Software - Infrastructure,Technology,8607303,40.699999999999996,42.266998,7.131931,True,57.99,High,$20B
SOFI,"SoFi Technologies, Inc.",17.904973824,Credit Services,Financial Services,50894211,34.1,82.636,7.1073737,True,16.5,Medium,$20B
NTNX,"Nutanix, Inc.",17.45283072,Software - Infrastructure,Technology,2545014,10.9,84.935,8.122069,True,65.14,Low,$20B
CYBR,CyberArk Software Ltd.,17.361487872,Software - Infrastructure,Technology,485086,25.6,81.066,19.089844,True,352.22,Medium,$20B
TWLO,Twilio Inc.,17.169805312,Software - Infrastructure,Technology,2764773,9.700000000000001,50.94,3.9569504,True,111.94,Low,$20B
TWLO,Twilio Inc.,17.169805312,Software - Infrastructure,Technology,2764773,9.700000000000001,50.94,3.9569504,True,111.94,Low,$20B
MANH,"Manhattan Associates, Inc.",16.699819008,Software - Application,Technology,401300,16.6,54.653,16.29559,True,273.43,Low,$20B
ENTG,"Entegris, Inc.",16.063166464,Semiconductor Equipment & Materials,Technology,2084883,-9.1,45.078,5.0140014,True,106.38,Negative,$20B
AZPN,"Aspen Technology, Inc.",15.908564992,Software - Application,Technology,463381,-13.4,65.26999500000001,14.540973,True,251.52,Negative,$20B
DT,"Dynatrace, Inc.",15.312229376,Software - Application,Technology,3038491,18.9,82.405996,9.794855,True,51.3,Low,$20B
SWKS,"Skyworks Solutions, Inc.",14.9750016,Semiconductors,Technology,2401701,-15.9,40.466,3.4253628,True,93.64,Negative,$20B
OKTA,"Okta, Inc.",14.957579264,Software - Infrastructure,Technology,3103134,16.2,75.81599999999999,6.100155,True,87.29,Low,$20B
PAYC,"Paycom Software, Inc.",12.06173696,Software - Application,Technology,607673,11.200000000000001,85.616994,6.613077,True,209.18,Low,$20B
PAYC,"Paycom Software, Inc.",12.06173696,Software - Application,Technology,607673,11.200000000000001,85.616994,6.613077,True,209.18,Low,$20B
PCTY,Paylocity Holding Corporation,10.982119424,Software - Application,Technology,414570,28.199999999999996,68.669,7.5849385,True,197.0,Medium,$20B
PCTY,Paylocity Holding Corporation,10.982119424,Software - Application,Technology,414570,28.199999999999996,68.669,7.5849385,True,197.0,Medium,$20B
MTSI,"MACOM Technology Solutions Holdings, Inc.",10.809561088,Semiconductors,Technology,602295,33.5,53.973000000000006,14.816183,True,145.41,Medium,$20B
ONTO,Onto Innovation Inc.,10.69766144,Semiconductor Equipment & Materials,Technology,761409,21.7,52.127,11.353459,True,216.59,Medium,$20B
NICE,NICE Ltd.,10.487467008,Software - Application,Technology,470196,14.299999999999999,67.065,4.115565,True,162.4,Low,$20B
ESTC,Elastic N.V.,10.403616768,Software - Application,Technology,1395449,18.3,74.050003,7.875633,True,100.39,Low,$20B
ESTC,Elastic N.V.,10.403616768,Software - Application,Technology,1395449,18.3,74.050003,7.875633,True,100.39,Low,$20B
GTLB,GitLab Inc.,10.228146176,Software - Infrastructure,Technology,2514513,30.8,89.294,15.375631,True,63.02,Medium,$20B
GTLB,GitLab Inc.,10.228146176,Software - Infrastructure,Technology,2514513,30.8,89.294,15.375631,True,63.02,Medium,$20B
ALTR,Altair Engineering Inc.,9.417465856,Software - Application,Technology,1114701,13.0,81.293,14.608423,True,110.41,Low,$10B
DBX,"Dropbox, Inc.",9.221783552,Software - Infrastructure,Technology,2871213,0.8999999999999999,82.311994,3.6311955,True,30.59,Low,$10B
BILL,"BILL Holdings, Inc.",9.200883712,Software - Application,Technology,2430332,17.5,85.238,6.847745,True,88.9,Low,$10B
BILL,"BILL Holdings, Inc.",9.200883712,Software - Application,Technology,2430332,17.5,85.238,6.847745,True,88.9,Low,$10B
PEGA,Pegasystems Inc.,8.857509888,Software - Application,Technology,568427,-2.9000000000000004,74.404997,5.982447,True,103.29,Negative,$10B
U,Unity Software Inc.,8.769826816,Software - Application,Technology,10961983,-18.0,69.554,4.4620533,True,21.77,Negative,$10B
CFLT,"Confluent, Inc.",8.757467136,Software - Infrastructure,Technology,3888491,25.0,73.165,9.564668,True,26.7,Medium,$10B
CFLT,"Confluent, Inc.",8.757467136,Software - Infrastructure,Technology,3888491,25.0,73.165,9.564668,True,26.7,Medium,$10B
IONQ,"IonQ, Inc.",8.415484928,Computer Hardware,Technology,32890160,102.1,50.324000000000005,224.5986,True,38.89,High,$10B
LSCC,Lattice Semiconductor Corporation,8.04646912,Semiconductors,Technology,2134059,-33.900000000000006,68.896,14.302851,True,58.32,Negative,$10B
SMAR,Smartsheet Inc.,7.904513024,Software - Application,Technology,3098219,17.299999999999997,81.607,7.583991,True,56.46,Low,$10B
S,"SentinelOne, Inc.",7.17556736,Software - Infrastructure,Technology,4512932,33.1,73.347,9.916045,True,22.33,Medium,$10B
